feature_rank,feature_idx,rm_mu_score,empirical_mu_corr,img_rank,activation,mu,model,image_path,prompt
3,4487,0.017213,0.7407,1,7.9547,7.599,sd_1_4,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/f9919a67-ca96-47e1-983a-385673d2a6b2.jpg,"The image showcases a young woman exuding a warm and festive Christmas spirit. She is positioned centrally, gazing directly at the viewer with a subtle, inviting smile. Atop her head sits a classic red and white Santa hat, adorned with delicate snowflake patterns. Her loose, brown hair cascades around her shoulders, partially tucked into a creamy white sweater.

Her hands are gently cupped, holding a string of warm, glowing fairy lights that blur softly in the foreground, casting a soft glow on her face. The background is deliberately blurred, featuring a warm bokeh effect from more fairy lights, suggesting a cozy indoor setting. The image conveys a sense of joy, peace, and the magic of the holiday season."
3,4487,0.017213,0.7407,2,7.9353,8.472,sd_1_1,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/4a22f6de-c2df-4ebd-a83c-36058609605a.jpg,"The image is a cheerful illustration of a graduating woman surrounded by floral elements. The background is a light, pastel blue, creating a serene and optimistic mood. 

The main subject, the graduate, is depicted wearing a traditional black graduation gown and cap. She holds a diploma in one hand and a mortarboard in the other, both symbols of academic achievement. She has red cheeks and a smile, the image shows that she is celebrating her graduation.

The scene is adorned with an array of stylized flowers and foliage. There are red flowers, daisies, green leaves, and brown leaves. Some of the flowers and foliage have a vintage color palette. Clouds can be seen at the top of the image."
3,4487,0.017213,0.7407,3,7.9096,8.033,sd_1_1,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/2a182696-7ce0-42f0-b8e7-30c973385f24.jpg,"The image depicts a serene scene of a woman sitting on the steps of a charming, European-style house. She has a pensive expression on her face. The woman is dressed in a long, flowing red skirt and a blue top, and she is wearing light-colored heels. Her hair is styled in a braid.

The house has a warm and inviting appearance, with glowing light emanating from the windows. The architecture features stone walls, arched windows on the upper level with small balcony, and a lantern hanging near the entrance. Greenery and flowers, in shades of purple, pink, and white, surround the steps, adding a touch of natural beauty to the scene. A brown pot sits on one of the lower steps.

The overall tone of the image is peaceful and dreamy, with a soft color palette that evokes a sense of tranquility. The lighting is warm and golden, suggesting either sunrise or sunset, which enhances the romantic and idyllic quality of the scene. The artist's signature, ""Mirela A,"" is visible in the lower right corner."
3,4487,0.017213,0.7407,4,7.8999,8.446,sd_1_4,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/baf8f50e-4d8b-4b19-92e3-ba4c14cb2d5b.jpg,"The image is a serene and elegant illustration dominated by shades of purple and white. In the foreground, a dense patch of purple irises is depicted with remarkable detail, their petals delicately painted. Behind the flowers, watercolor-style splotches of purple add depth and a sense of ethereal beauty.

A silhouette of a woman stands in the center of the composition, her form echoing the purple hue of the surrounding flora and background. She appears to be deep in thought, her finger lightly touching her chin. A butterfly adorns her hair, adding a touch of whimsy. She carries a stylish bag in her left hand.

Above the woman, the words ""Style Calligraphy"" are written in an elegant font, followed by a line of text that appears to describe the accompanying calligraphy. The overall composition evokes a sense of tranquility and sophistication."
3,4487,0.017213,0.7407,5,7.8893,8.2,sd_1_1,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/b6c2d848-99fc-4680-ab78-e1f2a83b35f8.jpg,"The image presents a sorrowful scene encased within a vibrant, almost protective botanical environment. A woman's face, framed by a round, light blue-edged mirror, appears in the center, held by a pinkish hand. Her eyes are closed, and a single tear trickles down her cheek, emphasizing her sadness. Her lips are painted in bright red color. Her hair is brown.

Surrounding the hand and mirror is a lush tapestry of diverse flora. Leaves in various shades of green, purple, and yellow create a dense, natural border. The background is a deep, dark blue, providing a stark contrast that highlights the colorful foliage and the woman's pale complexion. The artwork has a gentle, illustrational style, with soft textures and gradients that create a dreamlike quality.

The composition invites a sense of intimacy and introspection, as if the viewer is peering into a private moment of sadness, cradled by the supportive embrace of nature. The juxtaposition of the woman's grief and the vibrant, healthy flora suggests resilience and the potential for healing."
4,174,0.014003,0.6977,1,10.2618,7.652,real_images,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/a5a98b8b-583e-49e8-a4aa-f31f58a358ca.jpg,"The image is a close-up of a man's wrist and hand, prominently featuring a black leather wristwatch with a silver bezel and white numbers. The watch face is oriented upside down, with the number 12 at the bottom and 6 at the top. The man's hand is partially clenched, revealing a gold wedding band on his ring finger. He is dressed in a black suit, and his arm is hairy. In the background, which is blurred, the man is holding a black camera with a long lens, suggesting he might be a photographer. The setting appears to be indoors, possibly in a restaurant, indicated by a black railing and a gray floor."
4,174,0.014003,0.6977,2,10.0627,7.683,sdxl,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/12aaf3ab-de55-4c1f-9abd-0a8f205b753c.jpg,"The image depicts a top-down view of a coffee setup on a black table. At the center, there is a white coffee cup with a white handle, filled with dark brown coffee. The cup is placed on a black digital scale, which displays the weight as 412 grams. To the left of the cup, there is a black coffee bag with a white label that reads ""ZOE Coffee"" in black text. In the top left corner, there is a glass jar with a black lid containing a brown substance. On the top right, there is a silver coffee grinder with a black lid. The overall scene is set against a black background, highlighting the coffee and its accessories."
4,174,0.014003,0.6977,3,10.0566,7.309,kolors,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/7f73fb6a-8212-4bcf-a70b-9e40da8f4534.jpg,"The image features a close-up of a woman's hand, prominently displaying a gold ring with a diamond on her ring finger. The hand, which appears to be Caucasian, is positioned against a dark, crumpled background that resembles black tissue paper or a wrinkled black cloth. The lighting is dramatic, with a spotlight illuminating the hand and ring, creating a stark contrast against the dark backdrop. The hand is slightly curled, with the fingers pointing downward, and the fingernails are painted a dark brown or dark pink color. The overall composition emphasizes the elegance of the ring and the texture of the background, giving the image a sophisticated and artistic feel."
4,174,0.014003,0.6977,4,9.9635,7.592,sdxl,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/5ad09a75-eb96-4afc-b77c-6967b330cbb3.jpg,"This close-up photograph captures a delectable chicken sandwich placed on a white plate with a thick blue border. The sandwich features a toasted sesame seed bun, with the top bun slightly askew to reveal its contents. Inside, there is a crispy, golden-brown fried chicken patty, accompanied by fresh slices of cucumber and tomato. A dollop of creamy mayonnaise is visible, adding a touch of richness to the ensemble. The sandwich is artfully presented on the plate, which rests on a wooden table, enhancing the rustic and appetizing appeal of the image."
4,174,0.014003,0.6977,5,9.8817,6.96,hunyuan,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/ee809566-39c5-49d0-82f5-a60427e6516c.jpg,"This close-up photograph captures the intricate details of a Nike tennis shoe, focusing on the side profile. The shoe is predominantly brown with a textured, leather-like finish, and features a prominent black Nike swoosh that extends from the toe area to the heel. The swoosh is outlined in white stitching, adding contrast to the design. The shoe's interior is white, providing a stark contrast to the brown exterior. The image also reveals a portion of the black shoelaces and the white sole, which is partially visible. The background is blurred, showing a white wall and a brown object, possibly a chair, in the upper left corner, emphasizing the shoe as the main subject."
5,13084,0.01165,0.7384,1,20.563,7.259,sd_1_1,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/aa2a03ed-8e59-4d8a-819f-ceb1ee8db3b6.jpg,"Photo d'un éléphant dans le quartier de la défense, en plan large, longue focale, avec la grande arche en fond, photo réaliste, safari"
5,13084,0.01165,0.7384,2,20.1475,6.44,sd_1_1,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/da8a4772-f40a-4018-9fde-f5e983eac875.jpg,awkward family photo with pet robot
5,13084,0.01165,0.7384,3,19.9907,5.79,sd_1_1,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/9c5098fd-c52a-4532-b86e-5760176f0e79.jpg,"Fantasy, male samurai character, full figure, color graphic style, in the style of Frank Frazetta"
5,13084,0.01165,0.7384,4,19.9804,6.316,sd_1_4,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/e6b26800-53eb-456a-8278-46ece2710f32.jpg,"style of karol bak and eve ventrue and bastien deharme and michael whelan, full body shot of young african mother holding a toddler surrounded by people in a village in africa, background african savannah, happy faces, bright colors"
5,13084,0.01165,0.7384,5,19.9749,6.581,sd_1_4,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/f270e018-25a4-43e4-b53d-2a7c333ad8ad.jpg,4K renaissance painting of a jesus on the cross being eatin alive by a beast
6,6264,0.022482,0.5213,1,13.2594,12.978,flux,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/a4157d7b-e660-48bc-8435-ca8f1cb4553e.jpg,"The image captures a top-down view of a rustic wooden table with a light brown, horizontally-laid surface. At the center of the table sits a white plate with a blue, floral-patterned interior, holding a stack of three to four pancakes. The pancakes are being drizzled with golden syrup from a spoon held by a hand entering from the left side of the frame. The syrup cascades down, creating a mouthwatering scene. To the left of the plate, there is a jar of honey, and the hand appears to be using a spoon to pour the syrup. The overall composition highlights the warm, inviting atmosphere of a cozy breakfast setting."
6,6264,0.022482,0.5213,2,13.2123,12.749,flux,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/f0af6764-8c6a-42a8-9584-35e8ab2408da.jpg,"This image features a close-up of a short, clear glass with a thick base, filled with a yellowish-orange liquid, likely a cocktail. The glass is adorned with vertical ridges and contains three large ice cubes. Garnishing the drink are three slices of what appears to be blood orange, with their vibrant red-orange hue contrasting against the yellow liquid. The glass is placed on a dark brown wooden table, which is shiny and reflective, adding a polished touch to the scene. In the background, there is a blurred stone wall with a green plant, possibly a ficus, positioned to the left. The overall setting suggests a cozy, possibly upscale bar or restaurant ambiance."
6,6264,0.022482,0.5213,3,13.2022,12.757,sd3,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/bab5b6dd-d403-4cd5-bcf4-36613a7f6c6e.jpg,"This image showcases a delectable spread of food and drinks, meticulously arranged on a sleek black table. At the forefront, a wooden cutting board holds a mouthwatering sub sandwich, brimming with juicy tomatoes, melted cheese, and a generous spread of mayonnaise. The sandwich is encased in a perfectly toasted, golden-brown bun."
6,6264,0.022482,0.5213,4,13.1745,12.733,sd3,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/b015c629-aac6-430b-9797-4dd05c65c89d.jpg,"The image depicts a close-up of a white, shallow bowl filled with a vibrant orange broth, likely a spicy or tomato-based soup. Floating in the broth are four pieces of rolled meat, possibly sushi or sashimi, with the outer layer appearing to be a darker pink or red, and the inner layer a lighter pink. The meat is garnished with small green herbs or vegetables. The bowl is placed on a gray, stone-like surface, and in front of it, there are two elegant, silver chopsticks with ornate handles. The background is dark, emphasizing the vivid colors of the dish and the utensils."
6,6264,0.022482,0.5213,5,13.1555,12.828,sd3,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/f7b8db04-5d6e-459f-9226-acf7d2b6c603.jpg,"The image depicts a close-up of a dessert arrangement on a dark brown wooden table. At the center, a black circular plate holds a clear glass dome with a small knob on top. Inside the dome are two distinct desserts: on the left, a muffin with a dark brown exterior and a lighter brown interior, topped with a black substance; on the right, a slice of cake featuring a white top layer, a brown middle layer, and a brown bottom layer, garnished with a mix of brown and black sprinkles. The background is blurred, revealing a window that offers a view of a beach with sand and the ocean, under a gray sky. The scene is well-lit, highlighting the textures and colors of the desserts and the wooden table."
7,4862,0.026061,0.4948,1,15.2269,13.576,infinity,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/ded1c87e-001f-41c8-8efc-1705256d3aa6.jpg,"The image features a young woman with striking blue eyes looking directly at the camera. Her blonde hair is styled in loose waves, with darker roots and lighter highlights framing her face. She has fair skin and appears to be wearing subtle makeup, including mascara and lip gloss.

She is wearing a bright, almost neon green jacket with a zipper visible at the neck. Over her chest, she is holding a badminton racket. The strings of the racket are visible through the open neck of her jacket. The racket is white with blue accents.

The background is blurred, suggesting an outdoor setting. The lighting is bright and natural, highlighting the woman's features and clothing. The overall tone of the image is focused and confident."
7,4862,0.026061,0.4948,2,15.2012,13.443,flux,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/fcca76b6-6d0d-46f8-ae86-7fb1c47b7b1c.jpg,"The image captures a close-up of a Caucasian man with a five o'clock shadow, drinking from a brown bottle with a black cap and red rim. He is wearing a black and red helmet with a black strap under his chin and a red visor that reads ""Rapha"" in pink letters. His attire includes a black shirt and pink gloves with black accents. The man is looking to the left, and the background is a light gray sky, suggesting an outdoor setting. The photograph is taken from a low angle, emphasizing the man's face and the bottle he is drinking from."
7,4862,0.026061,0.4948,3,15.1858,13.18,real_images,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/24310bf1-a4f4-432f-b6b7-09a97d4254ba.jpg,"A young man, likely in his late teens or early twenties, is captured in this image. He has short brown hair, with the sides neatly trimmed and the top left slightly longer. He is wearing a black North Face hoodie, identifiable by the white North Face logo on the left side of his chest. The hoodie features two front pockets and a hood, with the drawstrings visible at the front. He also has a black backpack on, with the straps visible over his shoulders. In his right ear, he wears a white AirPod. The background is blurred, but it appears to be a building with a distinctive pattern of gray triangles and black-outlined windows."
7,4862,0.026061,0.4948,4,15.1793,13.164,real_images,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/9690c5b6-5822-4a09-b6f4-d4b10b67a67a.jpg,"A young man, likely in his late teens or early twenties, is captured in this image. He has short brown hair, with the sides neatly trimmed and the top left slightly longer. He is wearing a black North Face hoodie, identifiable by the white North Face logo on the left side of his chest. The hoodie features two front pockets and a hood, with the drawstrings visible at the front. He also has a black backpack on, with the straps visible over his shoulders. In his right ear, he wears a white AirPod. The background is blurred, but it appears to be a building with a distinctive pattern of gray triangles and black-outlined windows."
7,4862,0.026061,0.4948,5,15.1352,13.852,kolors,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/a86185da-4be4-4b0a-8aa7-ea9993a7dde4.jpg,"The image features a young woman in a snowy outdoor setting. She's wearing a luxurious, knee-length fur coat in shades of gray and brown, which appears thick and warm. The coat has a hood, and the woman is also wearing gloves that match the brown accents on the coat.

She has long, light brown hair that falls to her shoulders and bright red lipstick that stands out against her pale skin. The woman is looking directly at the camera with a slight smile, creating a welcoming and confident expression.

The background is predominantly white with a blurred, snow-covered landscape suggesting a cold, winter day. There's a hint of a body of water in the distance, possibly a frozen lake or river, and a few bare trees can be seen faintly in the background. The overall impression is one of warmth and elegance amidst a chilly, winter scene."
8,9126,0.019423,0.5123,1,8.0139,11.806,infinity,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/a1cc20a1-0c78-482a-b77c-1ea04054f3e0.jpg,"The image is a black and white charcoal drawing of a woman. She is the central focus, depicted from just above her chest upwards, with the background a plain white, placing full attention on her. Her head is slightly tilted towards the right. Her gaze is intense, looking directly at the viewer. She has dark eyes, well-defined eyebrows, and full lips that are slightly parted.

Her hair is pulled back loosely, with strands framing her face. The artist has used a lot of dark shading, especially around the eyes and on the left side of her face, creating depth and contrast. The neck is also shaded, with the collarbones subtly visible. The style is expressive and evocative, capturing a sense of introspection and perhaps a hint of melancholy. A signature is visible in the bottom right corner."
8,9126,0.019423,0.5123,2,7.9655,11.144,infinity,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/c9f32707-a6c6-4760-9b98-c9796f563ed6.jpg,"The image shows a detailed close-up of a woman's face and hair, reminiscent of classical painting, specifically the Renaissance style. Her skin is fair with subtle freckles, and she has delicate features, including a straight nose, full lips, and almond-shaped eyes with a direct gaze. The woman's hair is long, flowing, and a warm, golden-red hue, with strands that curl and wave dynamically, suggesting movement. Some of her hair is tied or held back with a light-colored band near her neck.

The background is a muted, light blue-green tone, which contrasts with the warmth of her complexion and hair. The lighting is soft and diffused, contributing to the overall serene and ethereal quality of the image. The style suggests it is a cropped section of a larger, classical-style painting. The artist's attention to detail is evident in the rendering of the hair and skin texture, creating a sense of realism and depth."
8,9126,0.019423,0.5123,3,7.9268,11.59,real_images,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/b1db3917-9a4f-449b-8f48-7d259b6feac5.jpg,"The photograph showcases a fair-skinned young woman with vibrant, curly red hair against a bright yellow background. She is the primary subject of the shot, taking up a considerable portion of the frame. The woman is wearing a sleeveless green dress, which provides a striking contrast to the backdrop.

Her expression is playful and engaging, as she holds a finger to her lips, gesturing for silence. Her light-colored eyes and subtle freckles are visible, adding to her youthful charm. The lighting is even, casting a soft glow on her features and hair, accentuating its texture. The composition is simple yet effective, drawing the viewer's attention to the subject and her non-verbal communication. Overall, the image conveys a sense of playful secrecy or a request for quiet."
8,9126,0.019423,0.5123,4,7.9245,11.3,sd3,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/02b722e9-ee39-4512-8fc0-a7455e124a1b.jpg,"This aerial photograph captures a scenic, winding mountain road that curves from the bottom right to the top left of the image. The road, which is gray with white lines on either side, is flanked by a metal guardrail on the right and a steep, rocky hillside on the left. The hillside is dotted with green bushes and patches of brown dirt, adding texture to the landscape. Three cyclists, all wearing blue shirts and helmets, are riding in a tight formation down the road. The lead cyclist is on a red bike, followed by a cyclist on a black bike, and the third on a white bike. The sunlight, coming from the left side of the image, casts long shadows of the cyclists to the right, indicating it is likely morning. The overall scene is vibrant with the colors of the cyclists' attire and the natural hues of the surrounding terrain, creating a dynamic and picturesque view."
8,9126,0.019423,0.5123,5,7.9185,12.145,kolors,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/0c90c1ba-90a8-429b-8158-37eb375a1ea4.jpg,"The image depicts a serene and enchanting scene of a young boy gazing at a meteor shower in the night sky. The boy stands on a wooden ladder positioned on a rooftop, with his back to the viewer. He is wearing a casual outfit consisting of a light-colored shirt and dark shorts, with his dark hair neatly cut.

The night sky is a deep, mesmerizing shade of blue, adorned with countless twinkling stars. Streaks of light from the meteors cut across the sky, creating a sense of wonder and movement. A vast, swirling nebula of purple and pink hues stretches across the upper portion of the sky, adding to the ethereal beauty of the scene. The rooftop beneath the boy is a simple, flat surface, with a few angular structures hinting at the surrounding architecture. The overall atmosphere of the image is one of peacefulness, curiosity, and a sense of connection to the vastness of the universe."
9,12404,0.01946,0.4594,1,6.7982,11.628,kolors,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/7f57c31e-b4f5-439f-be20-e4eb780be6e9.jpg,"The image is a vibrant and dreamy illustration of a boy standing in a field of colorful wildflowers under a bright blue sky filled with fluffy white clouds. The boy, who is facing away from the viewer, is dressed in a simple white shirt and tan pants. He appears to be gazing out at the vast expanse of flowers.

The flowers in the field are a mix of red, orange, white, and blue, creating a lively and textured carpet of color. The style of the illustration is painterly, with visible brushstrokes and a soft, dreamlike quality. The overall tone of the image is serene and peaceful, evoking a sense of wonder and appreciation for nature. The bright colors and open sky contribute to a feeling of freedom and possibility."
9,12404,0.01946,0.4594,2,6.734,11.533,kolors,/gpfs/scratch1/shared/scur0077/datasets/HPDv3/images/93dbf5ad-e6a2-401c-af8d-af6061ca3303.jpg,"This is a digital illustration in a flat style featuring a woman in a yellow dress and a vintage car, set against a backdrop of stylized autumn foliage. The color palette is warm, dominated by shades of yellow, gold, and muted green.

Two dark-colored trees frame the scene, their branches reaching up and merging with a canopy of large, fan-shaped yellow leaves, reminiscent of ginkgo leaves in their autumnal splendor. The woman, viewed from the back, is wearing a long, flowing yellow gown and a black hat. She stands elegantly, her dress pooling slightly on the ground. 

Behind her, a green vintage car adds a touch of classic sophistication to the scene. Fallen yellow leaves are scattered on the ground, creating a sense of the season's transition. The background is a soft, neutral color, allowing the vibrant colors of the foreground to pop. The overall impression is one of serenity, elegance, and the beauty of autumn."
